Datetime,District,Ward,Temperature,Consumption,Total,Ward2,Ward2_Temperature,Ward2_Consumption,Ward2_Total,Ward3,Ward3_Temperature,Ward3_Consumption,Ward3_Total,Ward4,Ward4_Temperature,Ward4_Consumption,Ward4_Total
25-01-2021,Chikmanglore,Koppa,34.52669145,205.4460208,326.3819962,sringeri,29.84,137.72,163.1,tarikere,41.89,109.62,120.92,nrpura,42.08690759,436.2908832,450.5969103
26-01-2021,Chikmanglore,Koppa,33.91471076,213.9617437,333.4348398,sringeri,35.11,175.49,180.73,tarikere,42.62,178.41,208.61,nrpura,40.02003042,129.3440593,143.9053441
27-01-2021,Chikmanglore,Koppa,31.74732894,195.2459583,343.0054255,sringeri,28.9,111.32,116.2,tarikere,34.79,111.39,128.79,nrpura,37.22352486,456.1017729,528.9519388
28-01-2021,Chikmanglore,Koppa,35.15939877,195.9320934,279.2132086,sringeri,44.31,143.57,145.48,tarikere,22.77,126.07,132.41,nrpura,20.10432023,189.6904337,255.5052332
29-01-2021,Chikmanglore,Koppa,34.44711556,197.0712866,253.1961886,sringeri,40.51,101,133.88,tarikere,30.91,139.83,156.51,nrpura,28.61913008,496.6350501,568.5045962
30-01-2021,Chikmanglore,Koppa,33.3513683,201.9020924,351.2516371,sringeri,26.19,182.09,221.29,tarikere,25.14,192.31,214,nrpura,21.94424348,213.5367348,292.9087365
31-01-2021,Chikmanglore,Koppa,34.57323599,201.4788234,331.1892788,sringeri,27.6,161.53,179.87,tarikere,31.23,126.31,146.68,nrpura,31.27996176,177.8831917,246.2353898
01-02-2021,Chikmanglore,Koppa,30.72243959,178.8156995,323.009247,sringeri,33.69,160.87,186.85,tarikere,33.09,150.57,154.89,nrpura,35.11238835,313.4519128,336.6969316
02-02-2021,Chikmanglore,Koppa,30.4862481,208.568664,216.6626722,sringeri,29.65,179.22,219.57,tarikere,32.5,118.15,148.86,nrpura,33.96081306,243.9121012,260.4183444
03-02-2021,Chikmanglore,Koppa,30.59529974,210.3936404,190.6662022,sringeri,28.25,109.43,150.42,tarikere,26.65,179.33,180.36,nrpura,36.60608226,301.4072954,366.6467434
04-02-2021,Chikmanglore,Koppa,31.6969638,217.4941423,172.5219121,sringeri,37.27,191.76,204.28,tarikere,41.08,145.06,159.76,nrpura,23.18640598,343.006055,367.7572509
05-02-2021,Chikmanglore,Koppa,32.06433434,218.6114019,275.3903965,sringeri,33.59,167.7,183.94,tarikere,32.55,186.68,232.43,nrpura,26.87376013,399.2548609,439.9278992
06-02-2021,Chikmanglore,Koppa,32.62885972,202.7280775,295.9729066,sringeri,25.71,106.33,112.34,tarikere,21.17,152.66,161.1,nrpura,26.92991151,204.0064498,292.3053076
07-02-2021,Chikmanglore,Koppa,34.97154359,186.6625169,340.7241955,sringeri,37.45,105.64,141.74,tarikere,37.38,173.2,205.79,nrpura,24.76398013,430.7756835,506.2658811
08-02-2021,Chikmanglore,Koppa,31.85627817,201.6745376,348.7919201,sringeri,28.59,107.43,150.91,tarikere,33.26,111.88,138.72,nrpura,23.05603972,165.8978579,170.3238989
09-02-2021,Chikmanglore,Koppa,32.93238039,209.0814977,298.577834,sringeri,23.67,175.38,216.24,tarikere,41.34,113.39,119.15,nrpura,40.49534747,454.0057573,511.6832035
10-02-2021,Chikmanglore,Koppa,33.13426991,202.7803511,265.0954327,sringeri,39.04,131.48,155.25,tarikere,38.22,181.79,215.94,nrpura,44.24654478,467.2139089,546.2204645
11-02-2021,Chikmanglore,Koppa,31.36139563,206.6788905,229.7043398,sringeri,29.54,110.1,136.83,tarikere,42.29,192.97,198.25,nrpura,40.05629597,482.0948594,538.1596764
12-02-2021,Chikmanglore,Koppa,33.28617852,217.2707899,209.2874107,sringeri,27.63,176.95,203.33,tarikere,41.03,165.18,177.08,nrpura,26.63155724,152.8657384,228.8851644
13-02-2021,Chikmanglore,Koppa,34.24193678,213.9074263,183.0961301,sringeri,27,123.45,169.69,tarikere,34.61,147.66,183.48,nrpura,33.35519845,117.7925669,184.964368
14-02-2021,Chikmanglore,Koppa,30.16131998,207.7857424,202.7750615,sringeri,27.69,174.39,211.57,tarikere,42.62,162.92,209.93,nrpura,24.310447,132.1295656,174.6391021
15-02-2021,Chikmanglore,Koppa,31.26204087,198.9713588,263.682823,sringeri,36.99,147.7,163.11,tarikere,29.77,144.06,160.15,nrpura,31.81813674,312.5504722,368.4945271
16-02-2021,Chikmanglore,Koppa,32.0410922,205.0460227,298.6207561,sringeri,36.3,127.45,157.06,tarikere,32.22,146.43,175.26,nrpura,41.12846705,349.6289065,373.1527019
17-02-2021,Chikmanglore,Koppa,34.90929443,211.6554273,227.5222533,sringeri,23.45,136.3,165.54,tarikere,39.8,192.49,216.88,nrpura,37.29231031,488.9742706,586.9937144
18-02-2021,Chikmanglore,Koppa,31.70896221,206.3891615,212.988323,sringeri,38.1,151.06,170.28,tarikere,43.71,181.87,192.94,nrpura,43.60039184,406.7316282,484.0664606
19-02-2021,Chikmanglore,Koppa,30.71601718,187.8925715,312.6347754,sringeri,37.89,141.55,168.14,tarikere,21.87,154.13,164.84,nrpura,41.73527564,324.9025811,350.5428839
20-02-2021,Chikmanglore,Koppa,28.99432333,182.9831363,370.5551816,sringeri,26.59,144.72,162.98,tarikere,32.19,115.4,129.25,nrpura,38.06131718,354.3317467,405.769896
21-02-2021,Chikmanglore,Koppa,32.43189792,202.7259391,332.3401897,sringeri,32.04,104.79,143.51,tarikere,36.82,169.37,209.35,nrpura,32.93955605,449.2637675,466.6090317
22-02-2021,Chikmanglore,Koppa,31.62199318,197.6373577,208.4604193,sringeri,30.02,168.68,217.4,tarikere,38.98,132.14,177.46,nrpura,36.92451566,129.5069087,149.7675796
23-02-2021,Chikmanglore,Koppa,31.72657524,206.7469073,221.5979202,sringeri,20.1,180.14,201.62,tarikere,42.78,183.78,196.76,nrpura,44.09993042,174.9216585,247.4514459
24-02-2021,Chikmanglore,Koppa,32.03781048,197.7412895,260.1127164,sringeri,27.51,152.37,192.55,tarikere,26.21,174.46,194.33,nrpura,35.008488,205.7852978,275.7531253
25-02-2021,Chikmanglore,Koppa,33.02748802,208.8918461,332.908312,sringeri,36.15,152.6,175.95,tarikere,37.35,157.52,163.21,nrpura,30.60622294,126.2383812,140.5546629
26-02-2021,Chikmanglore,Koppa,33.78067273,218.8335022,286.2251147,sringeri,44.19,141.91,175.59,tarikere,33.13,198.15,236.38,nrpura,37.39108819,434.5185731,479.4918449
27-02-2021,Chikmanglore,Koppa,33.52236881,217.9857583,330.2696977,sringeri,38.28,143.79,191.78,tarikere,27.08,183.65,198.55,nrpura,25.86343913,244.4540382,259.7750127
28-02-2021,Chikmanglore,Koppa,31.43796832,212.7918349,197.6325312,sringeri,35.57,131.91,151.15,tarikere,25.26,152.31,194.96,nrpura,33.85466152,248.2833439,272.2624794
01-03-2021,Chikmanglore,Koppa,32.66535369,203.3183505,1033.704058,sringeri,38.87,102.6,115.65,tarikere,26.76,138.42,184.4,nrpura,21.38605265,169.3511799,232.1813585
02-03-2021,Chikmanglore,Koppa,29.28065103,203.7101908,1009.159331,sringeri,31.89,112.28,143.57,tarikere,30.07,184.8,215.98,nrpura,29.28161108,263.8982032,284.2948925
03-03-2021,Chikmanglore,Koppa,33.24999601,211.1078494,751.4346284,sringeri,33.17,109.1,151.33,tarikere,21.91,125.87,150.29,nrpura,28.13148076,363.8802203,382.6547996
04-03-2021,Chikmanglore,Koppa,34.9106079,202.2392694,914.3609951,sringeri,30.63,148.83,152.49,tarikere,36.23,165.2,183.52,nrpura,24.15833563,488.239378,525.5086459
05-03-2021,Chikmanglore,Koppa,32.19154212,206.9848761,663.4656559,sringeri,22.61,164.3,208.67,tarikere,27.56,105.15,135.02,nrpura,43.90672362,183.6264971,224.9662927
06-03-2021,Chikmanglore,Koppa,33.83173874,196.5841848,779.3705108,sringeri,39.59,130.47,151.45,tarikere,42.55,185.68,216.66,nrpura,27.82775111,226.3271519,263.3738537
07-03-2021,Chikmanglore,Koppa,32.68928908,198.42285,763.7287265,sringeri,40.94,102.31,147.1,tarikere,39.16,129.24,153.04,nrpura,32.16490262,363.9900606,430.4939906
08-03-2021,Chikmanglore,Koppa,27.87142495,205.9352919,673.9406256,sringeri,20.16,124.32,161.11,tarikere,29.38,114.37,131.77,nrpura,35.5552335,198.7446987,226.3882714
09-03-2021,Chikmanglore,Koppa,31.95057312,212.5825232,779.8742737,sringeri,42.48,193.22,235.73,tarikere,32.49,118.06,166.15,nrpura,37.84259191,212.6583752,214.8070699
10-03-2021,Chikmanglore,Koppa,30.339412,199.7073342,952.5408417,sringeri,41.6,168,200.26,tarikere,41.29,119.23,131.22,nrpura,40.75882319,207.3709288,274.9049754
11-03-2021,Chikmanglore,Koppa,31.28306602,195.3344172,975.9502107,sringeri,33.17,181.78,189.48,tarikere,21.79,104.76,112.74,nrpura,28.63479306,453.0060504,482.7301428
12-03-2021,Chikmanglore,Koppa,31.45770145,214.9572096,789.0180585,sringeri,44.48,143.19,173.84,tarikere,23.69,151.34,169.43,nrpura,30.15267339,104.9318101,167.2850944
13-03-2021,Chikmanglore,Koppa,32.05014078,213.4939575,841.4935164,sringeri,42.03,180.72,217.72,tarikere,28.93,186.54,209.7,nrpura,23.26756263,135.8019554,213.894451
14-03-2021,Chikmanglore,Koppa,31.78112303,204.1059631,784.9546008,sringeri,33.11,121.77,170.83,tarikere,20.97,153.35,163.51,nrpura,22.81240676,424.2712182,427.1363084
15-03-2021,Chikmanglore,Koppa,32.46684715,192.4301923,879.6234704,sringeri,20.04,154.19,192.93,tarikere,40.44,145,182.37,nrpura,36.00284067,336.3360343,371.2313154
16-03-2021,Chikmanglore,Koppa,32.60792382,205.7430011,899.2963049,sringeri,36.31,143.54,163.22,tarikere,28.74,192.19,221.88,nrpura,41.69249436,288.2585449,363.2280541
17-03-2021,Chikmanglore,Koppa,33.97249619,199.0206743,980.4168442,sringeri,28.59,187.69,211.4,tarikere,44.35,192.06,208.66,nrpura,21.73333504,217.7036476,310.1371751
18-03-2021,Chikmanglore,Koppa,30.05151461,206.339959,583.8017968,sringeri,32.03,127.63,138.05,tarikere,37.23,135.41,141.57,nrpura,24.39812943,226.6897609,239.4304225
19-03-2021,Chikmanglore,Koppa,33.58170151,197.2555943,1030.693137,sringeri,22.99,166.8,199.52,tarikere,27,155.48,194.25,nrpura,26.3025982,363.576436,402.7946911
20-03-2021,Chikmanglore,Koppa,31.71019901,208.6069603,910.6771535,sringeri,31.87,169.68,188.05,tarikere,29.72,158.78,189.15,nrpura,25.65687143,343.8160701,353.4371767
21-03-2021,Chikmanglore,Koppa,31.88532716,198.3674655,627.1012314,sringeri,30.54,186.36,200.18,tarikere,36.85,142.1,149.08,nrpura,37.08975221,244.7620555,263.5880946
22-03-2021,Chikmanglore,Koppa,33.91293683,210.7321149,926.0613813,sringeri,34.34,128,162.3,tarikere,44.07,169.75,186.39,nrpura,26.20728848,276.1755582,288.2760747
23-03-2021,Chikmanglore,Koppa,33.13326548,211.9410285,963.06692,sringeri,26.7,165.82,184.49,tarikere,32.87,126.13,169.22,nrpura,26.16684506,278.5091516,300.5776242
24-03-2021,Chikmanglore,Koppa,30.5392881,192.106123,805.2291311,sringeri,36.23,173.08,175.55,tarikere,24.42,122.92,171.42,nrpura,39.67310741,164.8035304,192.2755936
25-03-2021,Chikmanglore,Koppa,32.98642705,182.2914263,672.3646911,sringeri,32.7,150.94,196.9,tarikere,41.73,162.99,203.84,nrpura,31.47037415,237.6977004,249.9943517
26-03-2021,Chikmanglore,Koppa,31.4400477,205.3337752,778.0137564,sringeri,41.98,193.21,231.45,tarikere,42.89,144.57,183.44,nrpura,41.9425236,421.8835139,509.850524
27-03-2021,Chikmanglore,Koppa,33.79774327,213.7752787,651.2143572,sringeri,21.25,140.28,155.11,tarikere,43.53,134.72,146.66,nrpura,39.26922174,466.6473011,496.059424
28-03-2021,Chikmanglore,Koppa,31.46678449,213.3435036,892.8493683,sringeri,21.49,178.32,185.64,tarikere,20.31,138.57,159.81,nrpura,31.71207476,270.4536648,361.9942002
29-03-2021,Chikmanglore,Koppa,31.87577894,193.9067571,808.3077599,sringeri,26.46,179.79,196.53,tarikere,35.61,140.42,183.73,nrpura,44.67408105,129.1196438,198.4537081
30-03-2021,Chikmanglore,Koppa,32.13498317,211.0515434,626.5982731,sringeri,26.01,152.07,175.76,tarikere,22.43,139.38,143.27,nrpura,22.57164559,333.4685707,382.8717977
31-03-2021,Chikmanglore,Koppa,31.58082285,200.3382196,765.3973896,sringeri,42.54,117.08,160.86,tarikere,41.83,185.27,225.15,nrpura,27.5612468,288.0843312,290.2464619
01-04-2021,Chikmanglore,Koppa,33.38101256,210.2630902,649.563303,sringeri,28.42,126.14,130.15,tarikere,39.9,111.65,148.14,nrpura,25.89095194,147.1021029,196.6795292
02-04-2021,Chikmanglore,Koppa,31.54090401,198.7340426,706.1021189,sringeri,24.62,198.32,199.37,tarikere,24.87,109.99,124.42,nrpura,32.61305475,230.1921895,247.5387855
03-04-2021,Chikmanglore,Koppa,31.20544572,212.8421272,577.9748776,sringeri,33.77,104.24,123.59,tarikere,23.27,131.51,143.83,nrpura,40.87367304,388.1225068,455.0762385
04-04-2021,Chikmanglore,Koppa,33.83788764,197.8238124,737.8768412,sringeri,26.66,121.94,132.24,tarikere,36.28,182.91,227.94,nrpura,43.45128192,177.8475623,236.1687007
05-04-2021,Chikmanglore,Koppa,29.91681772,199.0898386,748.2412326,sringeri,31.4,116.36,120.52,tarikere,41.48,116.69,145.25,nrpura,42.51947184,254.2024977,302.0163843
06-04-2021,Chikmanglore,Koppa,32.37668216,209.7090479,1082.714179,sringeri,38.05,137.54,167.37,tarikere,39.22,152.88,171.75,nrpura,30.51682968,317.9127604,390.6641522
07-04-2021,Chikmanglore,Koppa,32.49806282,197.7691817,776.995177,sringeri,21.95,198.35,237.08,tarikere,26.73,166.72,213.58,nrpura,43.31978026,138.0612027,149.2653333
08-04-2021,Chikmanglore,Koppa,33.04507576,194.8754554,1082.032982,sringeri,43.59,175.15,222.84,tarikere,44.24,191.18,232.23,nrpura,37.03524908,384.2649975,413.0165648
09-04-2021,Chikmanglore,Koppa,31.73702213,199.5401883,1038.305382,sringeri,43.4,182.51,230.44,tarikere,32.31,144.82,190.05,nrpura,20.10797511,405.7748488,447.9321136
10-04-2021,Chikmanglore,Koppa,32.21405224,217.4016566,877.7786444,sringeri,41.54,193.11,223.65,tarikere,36.38,154.22,175.27,nrpura,43.92170512,331.0500754,334.9106173
11-04-2021,Chikmanglore,Koppa,31.72203791,204.4595983,701.1607129,sringeri,20.28,146.09,168.44,tarikere,20.41,148.87,196.47,nrpura,26.15901588,378.1135057,446.894908
12-04-2021,Chikmanglore,Koppa,32.32920362,189.7603749,615.6083015,sringeri,34.7,130.82,171.06,tarikere,21.03,135.41,166.09,nrpura,32.68021167,225.474447,235.8465048
13-04-2021,Chikmanglore,Koppa,31.77754168,196.5501477,936.2276672,sringeri,26.36,181.09,216,tarikere,39.67,103.43,113.28,nrpura,37.1194266,174.9680099,249.1763216
14-04-2021,Chikmanglore,Koppa,37.14223096,213.2872535,838.8096217,sringeri,22.34,166.13,188.54,tarikere,31.61,194.88,242.74,nrpura,30.24491041,352.7643602,413.1317408
15-04-2021,Chikmanglore,Koppa,32.18021685,205.5305039,755.5617951,sringeri,35.41,167.57,195.04,tarikere,41.28,125.18,170.29,nrpura,26.78226078,200.2236762,287.262997
16-04-2021,Chikmanglore,Koppa,34.37672918,195.5168684,1002.096137,sringeri,25.81,182.11,197.44,tarikere,38.57,187.4,233.07,nrpura,37.19008688,463.2892818,523.8365761
17-04-2021,Chikmanglore,Koppa,31.19288938,207.1876138,929.6939065,sringeri,23.51,176.09,185.73,tarikere,44.25,153.92,169.23,nrpura,43.59132177,360.0014684,387.5666214
18-04-2021,Chikmanglore,Koppa,32.37417952,209.7659336,598.2108422,sringeri,43.07,165.63,186.82,tarikere,34.12,194.39,223.13,nrpura,44.6728949,363.9286828,461.74929
19-04-2021,Chikmanglore,Koppa,34.66621525,225.1686409,997.8865167,sringeri,26.41,120.6,145.58,tarikere,21.18,100.03,122.76,nrpura,43.12494868,434.6376927,438.5891495
20-04-2021,Chikmanglore,Koppa,30.81489805,215.0292949,630.5590595,sringeri,39.02,113.7,128.51,tarikere,38.44,160.21,169.73,nrpura,32.62538463,281.5526067,311.324098
21-04-2021,Chikmanglore,Koppa,34.06158973,195.7474087,1079.947839,sringeri,28.96,162.66,189.6,tarikere,25.28,176.57,224.42,nrpura,29.11932911,357.0378217,397.285677
22-04-2021,Chikmanglore,Koppa,31.64670152,191.0724114,593.6310152,sringeri,25.75,152.54,168.41,tarikere,29.82,142.38,160.76,nrpura,26.69855545,174.0381564,272.9743587
23-04-2021,Chikmanglore,Koppa,33.5677078,210.2086955,689.9464141,sringeri,32.51,171.4,206.91,tarikere,27.74,110.68,136.76,nrpura,35.433479,455.5799747,507.0725713
24-04-2021,Chikmanglore,Koppa,34.69681661,204.3421231,637.5253355,sringeri,25.72,116.95,152.11,tarikere,36.18,178.45,203.99,nrpura,24.25403403,213.8330474,243.0962842
25-04-2021,Chikmanglore,Koppa,33.30546483,196.9794187,711.8229424,sringeri,27.02,123.57,143.13,tarikere,28.87,134.72,150.1,nrpura,40.44841789,189.5283872,230.2948158
26-04-2021,Chikmanglore,Koppa,30.7563819,213.9856762,973.8502448,sringeri,34.88,126.26,137.68,tarikere,43.39,161.01,165.29,nrpura,37.4884719,323.8770041,364.9782302
27-04-2021,Chikmanglore,Koppa,33.17807131,179.3417311,703.9467336,sringeri,27.56,117.58,144.16,tarikere,32.7,122.1,162.97,nrpura,40.60537295,410.1782982,453.0436275
28-04-2021,Chikmanglore,Koppa,31.96344869,181.954004,866.6280441,sringeri,28.76,128,139.8,tarikere,22.39,149.78,192.09,nrpura,27.80844892,353.2362413,362.1643431
29-04-2021,Chikmanglore,Koppa,29.70480193,196.3132578,959.8981795,sringeri,38.21,128.04,129.12,tarikere,27.92,192.78,238.4,nrpura,36.56298787,112.7756598,207.505246
30-04-2021,Chikmanglore,Koppa,31.5358525,193.6657493,885.6237598,sringeri,35.81,125.19,129.81,tarikere,43.89,193.74,229.82,nrpura,35.29632113,359.3697786,440.8538064
01-05-2021,Chikmanglore,Koppa,33.19298975,210.6741792,683.4587873,sringeri,23.11,139.33,144.91,tarikere,30.26,188.1,217.3,nrpura,31.53235926,196.3013562,255.5492926
02-05-2021,Chikmanglore,Koppa,34.36743282,206.6646647,862.7221572,sringeri,41.71,184.02,229.61,tarikere,43.28,159.01,167.05,nrpura,38.50491728,146.246032,169.6696932
03-05-2021,Chikmanglore,Koppa,34.67393972,210.6803598,821.229824,sringeri,27.24,173.02,174.09,tarikere,29.4,148.4,160.48,nrpura,26.57958615,183.7907299,208.5813615
04-05-2021,Chikmanglore,Koppa,31.64948274,215.5975043,1018.930334,sringeri,21.32,173.66,194.85,tarikere,39.94,133.49,166.43,nrpura,26.78177318,240.7304411,302.4648096
05-05-2021,Chikmanglore,Koppa,34.7615719,205.8810559,841.6779226,sringeri,34.1,153.1,183.44,tarikere,42.76,118.46,143.85,nrpura,32.91648824,394.8790529,448.6417696
06-05-2021,Chikmanglore,Koppa,35.503724,192.3933981,818.3337608,sringeri,26.41,171.2,211.1,tarikere,37.86,197.6,221.91,nrpura,43.08727227,445.603933,499.3243978
07-05-2021,Chikmanglore,Koppa,32.94371905,188.6069977,931.4019008,sringeri,28.95,103.06,138.77,tarikere,38.99,128.03,151.15,nrpura,39.73061672,148.0530464,182.8218685
08-05-2021,Chikmanglore,Koppa,33.67196272,212.0916592,819.3368478,sringeri,27.54,162.6,194.86,tarikere,35.53,198.41,206.04,nrpura,23.37985504,429.523035,433.2465305
09-05-2021,Chikmanglore,Koppa,33.77545312,202.7096364,762.8895163,sringeri,31.73,182.66,193.22,tarikere,22.65,107.65,137.95,nrpura,42.081588,300.8667781,351.3251334
10-05-2021,Chikmanglore,Koppa,31.01798652,198.8713807,1034.524185,sringeri,32.68,155.39,189.14,tarikere,25.93,116.68,162.37,nrpura,22.88347288,259.8402356,340.1930277
11-05-2021,Chikmanglore,Koppa,29.55915634,206.7283545,693.5584332,sringeri,28.66,175.14,179.07,tarikere,41.28,179.18,215.65,nrpura,29.10396514,273.262532,341.7887152
12-05-2021,Chikmanglore,Koppa,33.13703316,193.1538369,956.214383,sringeri,27.21,191.64,240.22,tarikere,42.52,181.44,184,nrpura,37.85886854,138.5999572,162.4408353
13-05-2021,Chikmanglore,Koppa,35.30135572,196.2470113,965.3087656,sringeri,37.38,170.75,175.16,tarikere,32.67,105.51,130.12,nrpura,43.58096008,146.4387418,227.4356338
14-05-2021,Chikmanglore,Koppa,31.74907215,212.4995389,1028.659249,sringeri,42.29,194.41,210.88,tarikere,41.46,119.34,148.16,nrpura,28.51277607,222.0878225,295.0535525
15-05-2021,Chikmanglore,Koppa,33.99330409,200.4107704,698.3003582,sringeri,43.35,177.99,180.03,tarikere,29.63,147.93,154.07,nrpura,41.30618538,407.3854058,469.1953405
16-05-2021,Chikmanglore,Koppa,31.90121917,197.3184333,609.8534772,sringeri,26.82,145.01,176.67,tarikere,25.58,158.35,197.95,nrpura,24.7337712,215.5262952,267.9209626
17-05-2021,Chikmanglore,Koppa,31.75309254,205.2622319,976.3477298,sringeri,28.35,132.67,149.96,tarikere,23.09,111.83,127.36,nrpura,42.09666145,334.5650606,407.6137035
18-05-2021,Chikmanglore,Koppa,35.26582843,209.0024988,1019.300006,sringeri,34,157.33,169.19,tarikere,40,127.43,163.49,nrpura,43.84713252,317.4095835,334.749718
19-05-2021,Chikmanglore,Koppa,32.68414863,210.2619996,604.1603486,sringeri,40.87,123.63,124.96,tarikere,37.21,120.43,141.39,nrpura,37.79070141,226.9393494,254.3960063
20-05-2021,Chikmanglore,Koppa,29.09523161,210.2803603,823.8645908,sringeri,31.65,167.49,199.38,tarikere,27.72,145.01,194.31,nrpura,21.6259574,206.401982,279.7101984
21-05-2021,Chikmanglore,Koppa,29.56592699,216.0368053,703.8385398,sringeri,36.02,178.99,223.2,tarikere,32.62,161.25,165.49,nrpura,36.29119038,170.1233685,251.2982815
22-05-2021,Chikmanglore,Koppa,30.43847786,203.6570199,970.654653,sringeri,35.59,129.31,150.82,tarikere,35.31,154.8,159.93,nrpura,31.68332615,168.2610119,249.7289398
23-05-2021,Chikmanglore,Koppa,32.61561616,223.9333958,827.8650229,sringeri,44.8,188.76,218.21,tarikere,25.73,199.13,240.04,nrpura,44.13597007,130.4613187,227.2949512
24-05-2021,Chikmanglore,Koppa,31.67280583,204.3351339,594.2004696,sringeri,29.5,182.69,207.13,tarikere,36.68,157.95,181.35,nrpura,26.39353178,470.846011,522.7280815
25-05-2021,Chikmanglore,Koppa,32.33647294,215.8890204,736.2906525,sringeri,43.23,109.76,158.09,tarikere,35.81,124.87,147.73,nrpura,36.66860291,344.0062155,370.7317955
